state_code,state,district,districts_2,censuscode,state_district,rural45,total45
1,Jammu & Kashmir,Kupwara,Kupwara,1,Jammu & Kashmir Kupwara,41.8,47.2
1,Jammu & Kashmir,Badgam,Badgam,2,Jammu & Kashmir Badgam,*,*
1,Jammu & Kashmir,Leh(Ladakh),Leh Ladakh,3,Jammu & Kashmir Leh(Ladakh),*,*
1,Jammu & Kashmir,Kargil,Kargil,4,Jammu & Kashmir Kargil,*,*
1,Jammu & Kashmir,Punch,Punch,5,Jammu & Kashmir Punch,*,*
1,Jammu & Kashmir,Rajouri,Rajouri,6,Jammu & Kashmir Rajouri,*,*
1,Jammu & Kashmir,Kathua,Kathua,7,Jammu & Kashmir Kathua,*,*
1,Jammu & Kashmir,Baramula,Baramula,8,Jammu & Kashmir Baramula,*,-86.8
1,Jammu & Kashmir,Bandipore,Bandipora,9,Jammu & Kashmir Bandipore,-37.4,-43.1
1,Jammu & Kashmir,Srinagar,Srinagar,10,Jammu & Kashmir Srinagar,,-94.6
1,Jammu & Kashmir,Ganderbal,Ganderbal,11,Jammu & Kashmir Ganderbal,*,*
1,Jammu & Kashmir,Pulwama,Pulwama,12,Jammu & Kashmir Pulwama,-90.3,-89.9
1,Jammu & Kashmir,Shupiyan,Shopian,13,Jammu & Kashmir Shupiyan,-88,-90.3
1,Jammu & Kashmir,Anantnag,Anantnag,14,Jammu & Kashmir Anantnag,*,*
1,Jammu & Kashmir,Kulgam,Kulgam,15,Jammu & Kashmir Kulgam,*,*
1,Jammu & Kashmir,Doda,Doda,16,Jammu & Kashmir Doda,*,*
1,Jammu & Kashmir,Ramban,Ramban,17,Jammu & Kashmir Ramban,*,*
1,Jammu & Kashmir,Kishtwar,Kishtwar,18,Jammu & Kashmir Kishtwar,*,*
1,Jammu & Kashmir,Udhampur,Udhampur,19,Jammu & Kashmir Udhampur,*,*
1,Jammu & Kashmir,Reasi,Reasi,20,Jammu & Kashmir Reasi,*,*
1,Jammu & Kashmir,Jammu,Jammu,21,Jammu & Kashmir Jammu,*,*
1,Jammu & Kashmir,Samba,Samba,22,Jammu & Kashmir Samba,*,-63.6
2,Himachal Pradesh,Chamba,Chamba,23,Himachal Pradesh Chamba,-51.4,-51
2,Himachal Pradesh,Kangra,Kangra,24,Himachal Pradesh Kangra,-37.1,-37.1
2,Himachal Pradesh,Lahul and Spiti,Lahul Spiti,25,Himachal Pradesh Lahul and Spiti,-54.3,-54.3
2,Himachal Pradesh,Kullu,Kullu,26,Himachal Pradesh Kullu,*,-59
2,Himachal Pradesh,Mandi,Mandi,27,Himachal Pradesh Mandi,-40,-37.7
2,Himachal Pradesh,Hamirpur,Hamirpur,28,Himachal Pradesh Hamirpur,-54.3,-54.1
2,Himachal Pradesh,Una,Una,29,Himachal Pradesh Una,-54.2,-51.8
2,Himachal Pradesh,Bilaspur,Bilaspur,30,Himachal Pradesh Bilaspur,29.5,29.8
2,Himachal Pradesh,Solan,Solan,31,Himachal Pradesh Solan,-46.4,-53.4
2,Himachal Pradesh,Sirmaur,Sirmaur,32,Himachal Pradesh Sirmaur,-44.1,-49.4
2,Himachal Pradesh,Shimla,Shimla,33,Himachal Pradesh Shimla,*,*
2,Himachal Pradesh,Kinnaur,Kinnaur,34,Himachal Pradesh Kinnaur,-52.3,-52.3
3,Punjab,Gurdaspur,Gurdaspur,35,Punjab Gurdaspur,52.3,50.7
3,Punjab,Kapurthala,Kapurthala,36,Punjab Kapurthala,-61.5,54
3,Punjab,Jalandhar,Jalandhar,37,Punjab Jalandhar,-44.2,50.6
3,Punjab,Hoshiarpur,Hoshiarpur,38,Punjab Hoshiarpur,-37.5,36.2
3,Punjab,Shahid Bhagat Singh Nagar,Shahid Bhagat Singh Nagar,39,Punjab Sahid Bhagat Singh Nagar,61.6,60.1
3,Punjab,Fatehgarh Sahib,Fatehgarh Sahib,40,Punjab Fatehgarh Sahib,-32.5,37.8
3,Punjab,Ludhiana,Ludhiana,41,Punjab Ludhiana,32,36.3
3,Punjab,Moga,Moga,42,Punjab Moga,16.9,22.8
3,Punjab,Firozpur,Firozpur,43,Punjab Firozpur,-32.1,21.3
3,Punjab,Muktsar,Muktsar,44,Punjab Muktsar,28.1,27.8
3,Punjab,Faridkot,Faridkot,45,Punjab Faridkot,-51.9,45.8
3,Punjab,Bathinda,Bathinda,46,Punjab Bathinda,-46,38.5
3,Punjab,Mansa,Mansa,47,Punjab Mansa,26.7,29.6
3,Punjab,Patiala,Patiala,48,Punjab Patiala,24.1,27.7
3,Punjab,Amritsar,Amritsar,49,Punjab Amritsar,-37.6,50.2
3,Punjab,Tarn Taran,Tarn Taran,50,Punjab Tarn Taran,32.9,35.4
3,Punjab,Rup Nagar,Rupnagar,51,Punjab Rup Nagar,43.1,48.5
3,Punjab,Sahibzada Ajit Singh Nagar,Sahibzada Ajit Singh Nagar,52,Punjab Sahibzada Ajit Singh Nagar,*,-41.5
3,Punjab,Sangrur,Sangrur,53,Punjab Sangrur,-33.8,33.5
3,Punjab,Barnala,Barnala,54,Punjab Barnala,-35,29.5
4,Chandigarh,,Chandigarh,55,,,
5,Uttarakhand,Uttarkashi,Uttarkashi,56,Uttarakhand Uttarkashi,*,*
5,Uttarakhand,Chamoli,Chamoli,57,Uttarakhand Chamoli,*,*
5,Uttarakhand,Rudraprayag,Rudraprayag,58,Uttarakhand Rudraprayag,*,*
5,Uttarakhand,Tehri Garhwal,Tehri Garhwal,59,Uttarakhand Tehri Garhwal,-25.5,-31.2
5,Uttarakhand,Dehradun,Dehradun,60,Uttarakhand Dehradun,40.8,34.8
5,Uttarakhand,Garhwal,Garhwal,61,Uttarakhand Pauri Garhwal,-50,-53.9
5,Uttarakhand,Pithoragarh,Pithoragarh,62,Uttarakhand Pithoragarh,*,*
5,Uttarakhand,Bageshwar,Bageshwar,63,Uttarakhand Bageshwar,*,*
5,Uttarakhand,Almora,Almora,64,Uttarakhand Almora,*,-40.7
5,Uttarakhand,Champawat,Champawat,65,Uttarakhand Champawat,-47.6,51.8
5,Uttarakhand,Nainital,Nainital,66,Uttarakhand Nainital,62.6,64.7
5,Uttarakhand,Udham Singh Nagar,Udham Singh Nagar,67,Uttarakhand Udham Singh Nagar,38.2,39.6
5,Uttarakhand,Hardwar,Hardwar,68,Uttarakhand Hardwar,25,27.2
6,Haryana,Panchkula,Panchkula,69,Haryana Panchkula,*,22.4
6,Haryana,Ambala,Ambala,70,Haryana Ambala,-6.5,15.8
6,Haryana,Yamunanagar,Yamunanagar,71,Haryana Yamunanagar,28.7,27.8
6,Haryana,Kurukshetra,Kurukshetra,72,Haryana Kurukshetra,33.5,29.9
6,Haryana,Kaithal,Kaithal,73,Haryana Kaithal,35.5,31.7
6,Haryana,Karnal,Karnal,74,Haryana Karnal,-39.7,35.1
6,Haryana,Panipat,Panipat,75,Haryana Panipat,35.1,29.4
6,Haryana,Sonipat,Sonipat,76,Haryana Sonipat,-16.9,19
6,Haryana,Jind,Jind,77,Haryana Jind,23.7,20.4
6,Haryana,Fatehabad,Fatehabad,78,Haryana Fatehabad,16,15.6
6,Haryana,Sirsa,Sirsa,79,Haryana Sirsa,34.7,31.3
6,Haryana,Hisar,Hisar,80,Haryana Hisar,26.6,25.1
